Release Date & Time,Announcements
15/08/2024 18:45,Results of AGM
18/07/2024 18:08,Sales Performance
28/06/2024 17:31,Annual Results
28/06/2024 17:37,CD
24/06/2024 20:14,Profit Warning
18/04/2024 20:34,Sales Performance
28/03/2024 22:31,CD
18/01/2024 17:24,Sales Performance
29/11/2023 17:44,Interim Results
29/11/2023 17:49,CD
22/11/2023 18:36,Profit Warning
17/10/2023 18:40,Sales Performance
17/08/2023 17:53,Results of AGM
13/07/2023 22:47,Sales Performance
27/06/2023 17:39,Annual Results
27/06/2023 17:58,CD
13/04/2023 18:00,Sales Performance
12/01/2023 18:10,Sales Performance
28/11/2022 18:23,Interim Results
28/11/2022 18:29,CD
18/10/2022 19:11,Sales Performance
18/08/2022 17:02,Results of AGM
14/07/2022 19:05,Sales Performance
28/06/2022 17:15,Annual Results
28/06/2022 17:18,CD
24/06/2022 12:04,Profit Warning
13/04/2022 20:11,Sales Performance
14/01/2022 18:11,Sales Performance
29/11/2021 17:30,Interim Results
29/11/2021 17:54,CD
22/11/2021 18:39,Profit Warning
15/10/2021 17:38,Sales Performance
19/08/2021 17:03,Results of AGM
15/07/2021 17:46,Sales Performance
24/06/2021 17:41,Annual Results
15/04/2021 17:44,Sales Performance
14/01/2021 22:49,Sales Performance
